,location_name,year,Average,cause_name,metric_name,val_y,upper,lower
19,Oman,2008,31.971436645558253,Kidney cancer,Number,19.50043335330076,27.263293198863504,13.466832060235866
20,Oman,2008,31.971436645558253,Bladder cancer,Number,35.713873356020486,48.17348391471751,25.360084270312
21,Oman,2008,31.971436645558253,Brain and central nervous system cancer,Number,29.497306833426222,41.516137550113335,17.98017452880632
22,Oman,2008,31.971436645558253,Thyroid cancer,Number,30.59362968436658,43.62340552013768,19.292454389651624
23,Oman,2008,31.971436645558253,Mesothelioma,Number,3.553274958226716,5.077920188819907,2.292125927874133
24,Oman,2008,31.971436645558253,Hodgkin lymphoma,Number,18.166166547403773,26.55052086221039,11.532760738301995
25,Oman,2008,31.971436645558253,Non-Hodgkin lymphoma,Number,68.81127621464555,92.973577825907,47.76165768479642
26,Oman,2008,31.971436645558253,Multiple myeloma,Number,12.935551457854832,17.80764953468795,8.173156099778325
27,Oman,2008,31.971436645558253,Leukemia,Number,58.47369282906338,79.75134314285667,40.99221034619395
28,Oman,2008,31.971436645558253,Other neoplasms,Number,13.148163876689829,19.920753704672187,8.001831537826721
29,Palestine,2008,38.56397095848187,Other malignant neoplasms,Number,82.22674979673346,111.57006251467824,56.4312152238496
30,Somalia,2008,84.7917720308817,Esophageal cancer,Number,177.93317522505464,291.0113861312009,96.3577837438223
31,Somalia,2008,84.7917720308817,Stomach cancer,Number,132.38321052957997,196.02486313402653,81.45566825595802
32,Somalia,2008,84.7917720308817,Liver cancer,Number,40.53301961155752,74.51608458069714,22.52287371691769
